Gene_Symbol,GeneID,Description
ZC3HAV1L,92092,"zinc finger CCCH-type, antiviral 1-like"
NAP1L5,266812,nucleosome assembly protein 1-like 5
GNB2,2783,"guanine nucleotide binding protein (G protein), beta polypeptide 2"
C16orf79,283870,chromosome 16 open reading frame 79
PRLH,51052,prolactin releasing hormone
IL21,59067,interleukin 21
EXPH5,23086,exophilin 5
CPLX4,339302,complexin 4
PSG3,5671,pregnancy specific beta-1-glycoprotein 3
STRN3,29966,"striatin, calmodulin binding protein 3"
KIAA0391,9692,KIAA0391
ZNF354B,117608,zinc finger protein 354B
CLIP4,79745,"CAP-GLY domain containing linker protein family, member 4"
GLP1R,2740,glucagon-like peptide 1 receptor
TTC14,151613,tetratricopeptide repeat domain 14
WFDC10B,280664,WAP four-disulfide core domain 10B
PCDH20,64881,protocadherin 20
KRI1,65095,KRI1 homolog
ZNF645,158506,zinc finger protein 645
ZFYVE1,53349,"zinc finger, FYVE domain containing 1"
SLITRK2,84631,"SLIT and NTRK-like family, member 2"
MRPL41,64975,mitochondrial ribosomal protein L41
ANKS4B,257629,ankyrin repeat and sterile alpha motif domain containing 4B
HIST1H2AM,8336,"histone cluster 1, H2am"
SLC10A7,84068,"solute carrier family 10 (sodium/bile acid cotransporter family), member 7"
C3orf22,152065,chromosome 3 open reading frame 22
CDC42EP1,11135,CDC42 effector protein (Rho GTPase binding) 1
GOLM1,51280,golgi membrane protein 1
GTPBP4,23560,GTP binding protein 4
WDR21C,138009,WD repeat domain 21C
KCNQ4,9132,"potassium voltage-gated channel, KQT-like subfamily, member 4"
NFKB2,4791,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
PQBP1,10084,polyglutamine binding protein 1
ATG5,9474,ATG5 autophagy related 5 homolog
TCP10,6953,t-complex 10 (mouse)
SERPINA12,145264,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"
DICER1,23405,"Dicer1, Dcr-1 homolog"
TMEM160,54958,transmembrane protein 160
ARL6IP5,10550,ADP-ribosylation-like factor 6 interacting protein 5
GEMIN7,79760,gem (nuclear organelle) associated protein 7
ERCC2,2068,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"
MED14,9282,mediator complex subunit 14
TLN2,83660,talin 2
STAG1,10274,stromal antigen 1
MPND,84954,MPN domain containing
B3GNT7,93010,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
NKRF,55922,NF-kappaB repressing factor
AGPAT1,10554,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"
CXorf38,159013,chromosome X open reading frame 38
DUX1,26584,"double homeobox, 1"
SLC4A5,57835,"solute carrier family 4, sodium bicarbonate cotransporter, member 5"
ENTPD6,955,ectonucleoside triphosphate diphosphohydrolase 6 (putative function)
RRH,10692,retinal pigment epithelium-derived rhodopsin homolog
PCDHB1,29930,protocadherin beta 1
TMEM20,159371,transmembrane protein 20
HYLS1,219844,hydrolethalus syndrome 1
MAPK8IP1,9479,mitogen-activated protein kinase 8 interacting protein 1
PDZD11,51248,PDZ domain containing 11
SNX15,29907,sorting nexin 15
RALY,22913,"RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))"
FANK1,92565,fibronectin type III and ankyrin repeat domains 1
CYB5D2,124936,cytochrome b5 domain containing 2
TELO2,9894,"TEL2, telomere maintenance 2, homolog"
CD40,958,"CD40 molecule, TNF receptor superfamily member 5"
C17orf74,201243,chromosome 17 open reading frame 74
C6orf47,57827,chromosome 6 open reading frame 47
AJAP1,55966,adherens junction associated protein 1
G6PC2,57818,"glucose-6-phosphatase, catalytic, 2"
PPFIA3,8541,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
C17orf70,80233,chromosome 17 open reading frame 70
SPAG4,6676,sperm associated antigen 4
LAMA3,3909,"laminin, alpha 3"
PIGS,94005,"phosphatidylinositol glycan anchor biosynthesis, class S"
FLJ21075,80099,hypothetical protein FLJ21075
ACP1,52,"acid phosphatase 1, soluble"
ZNF221,7638,zinc finger protein 221
CAPZB,832,"capping protein (actin filament) muscle Z-line, beta"
TXNDC1,81542,thioredoxin domain containing 1
PAPD4,167153,PAP associated domain containing 4
TSEN2,80746,tRNA splicing endonuclease 2 homolog
ADAMTS20,80070,"ADAM metallopeptidase with thrombospondin type 1 motif, 20"
RLN2,6019,relaxin 2
NOG,9241,noggin
SYT11,23208,synaptotagmin XI
ARRDC1,92714,arrestin domain containing 1
FGB,2244,fibrinogen beta chain
UTS2R,2837,urotensin 2 receptor
JUND,3727,jun D proto-oncogene
RING1,6015,ring finger protein 1
TBCCD1,55171,TBCC domain containing 1
RFC5,5985,"replication factor C (activator 1) 5, 36.5kDa"
VWA3B,200403,von Willebrand factor A domain containing 3B
FCHSD1,89848,FCH and double SH3 domains 1
MOSPD1,56180,motile sperm domain containing 1
SLC39A11,201266,"solute carrier family 39 (metal ion transporter), member 11"
KIAA2013,90231,KIAA2013
ITPKC,80271,"inositol 1,4,5-trisphosphate 3-kinase C"
FAM54B,56181,"family with sequence similarity 54, member B"
ZNF511,118472,zinc finger protein 511
GSTA3,2940,glutathione S-transferase A3
TNFRSF8,943,"tumor necrosis factor receptor superfamily, member 8"
HOMEZ,57594,homeobox and leucine zipper encoding
FEM1B,10116,fem-1 homolog b (C. elegans)
KIRREL3,84623,kin of IRRE like 3
DRD1,1812,dopamine receptor D1
COMMD10,51397,COMM domain containing 10
KCNH6,81033,"potassium voltage-gated channel, subfamily H (eag-related), member 6"
PNKD,25953,paroxysmal nonkinesigenic dyskinesia
OR8B8,26493,"olfactory receptor, family 8, subfamily B, member 8"
PIGN,23556,"phosphatidylinositol glycan anchor biosynthesis, class N"
SNX14,57231,sorting nexin 14
RCOR2,283248,REST corepressor 2
CHERP,10523,calcium homeostasis endoplasmic reticulum protein
HOXA1,3198,homeobox A1
GPR1,2825,G protein-coupled receptor 1
SCTR,6344,secretin receptor
RBM17,84991,RNA binding motif protein 17
ATRIP,84126,ATR interacting protein
ZNF100,163227,zinc finger protein 100
MRPL51,51258,mitochondrial ribosomal protein L51
LCE3C,353144,late cornified envelope 3C
ZBTB37,84614,zinc finger and BTB domain containing 37
NME1,4830,"non-metastatic cells 1, protein (NM23A) expressed in"
SPTBN2,6712,"spectrin, beta, non-erythrocytic 2"
NKTR,4820,natural killer-tumor recognition sequence
ATR,545,ataxia telangiectasia and Rad3 related
C9orf6,54942,chromosome 9 open reading frame 6
PHF20,51230,PHD finger protein 20
C8orf44,56260,chromosome 8 open reading frame 44
UPRT,139596,uracil phosphoribosyltransferase (FUR1) homolog
ASB16,92591,ankyrin repeat and SOCS box-containing 16
ST8SIA5,29906,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
RBM12,10137,RNA binding motif protein 12
TRAFD1,10906,TRAF-type zinc finger domain containing 1
DCTN3,11258,dynactin 3 (p22)
KLC4,89953,kinesin light chain 4
SLC22A12,116085,"solute carrier family 22 (organic anion/cation transporter), member 12"
ABT1,29777,activator of basal transcription 1
WDR36,134430,WD repeat domain 36
NOTCH1,4851,"Notch homolog 1, translocation-associated"
TNFRSF10C,8794,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
TADA1L,117143,"transcriptional adaptor 1 (HFI1 homolog, yeast)-like"
ANKFN1,162282,ankyrin-repeat and fibronectin type III domain containing 1
C1QC,714,"complement component 1, q subcomponent, C chain"
ZNF491,126069,zinc finger protein 491
SUSD1,64420,sushi domain containing 1
CRB3,92359,crumbs homolog 3
FLJ20294,55626,hypothetical protein FLJ20294
NPPA,4878,natriuretic peptide precursor A
EDA,1896,ectodysplasin A
FBXO15,201456,F-box protein 15
TAF1A,9015,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa"
SLC19A2,10560,"solute carrier family 19 (thiamine transporter), member 2"
WDR67,93594,WD repeat domain 67
ADAMTS10,81794,"ADAM metallopeptidase with thrombospondin type 1 motif, 10"
PCDHGA4,56111,"protocadherin gamma subfamily A, 4"
OMA1,115209,"OMA1 homolog, zinc metallopeptidase"
PRKAB1,5564,"protein kinase, AMP-activated, beta 1 non-catalytic subunit"
ALPL,249,"alkaline phosphatase, liver/bone/kidney"
GPR174,84636,G protein-coupled receptor 174
C2orf34,79823,chromosome 2 open reading frame 34
ZNF155,7711,zinc finger protein 155
SAC3D1,29901,SAC3 domain containing 1
LETM2,137994,leucine zipper-EF-hand containing transmembrane protein 2
MORC3,23515,MORC family CW-type zinc finger 3
SLC35A2,7355,"solute carrier family 35 (UDP-galactose transporter), member A2"
TRIP10,9322,thyroid hormone receptor interactor 10
APOBEC3A,200315,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"
C20orf23,55614,chromosome 20 open reading frame 23
MAT2B,27430,"methionine adenosyltransferase II, beta"
C3orf33,285315,chromosome 3 open reading frame 33
HABP4,22927,hyaluronan binding protein 4
COX6B1,1340,cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)
SUV420H2,84787,suppressor of variegation 4-20 homolog 2
TMEM24,9854,transmembrane protein 24
UHRF1,29128,"ubiquitin-like, containing PHD and RING finger domains, 1"
C2orf29,55571,chromosome 2 open reading frame 29
C19orf26,255057,chromosome 19 open reading frame 26
TRIM39,56658,tripartite motif-containing 39
PTPRR,5801,"protein tyrosine phosphatase, receptor type, R"
C3orf35,339883,chromosome 3 open reading frame 35
CDC34,997,cell division cycle 34 homolog
RGS12,6002,regulator of G-protein signaling 12
IL11,3589,interleukin 11
ASB9,140462,ankyrin repeat and SOCS box-containing 9
ZNF583,147949,zinc finger protein 583
NR6A1,2649,"nuclear receptor subfamily 6, group A, member 1"
PRDM9,56979,PR domain containing 9
TBL3,10607,transducin (beta)-like 3
DUS2L,54920,"dihydrouridine synthase 2-like, SMM1 homolog"
MT1F,4494,metallothionein-1F complex
COL8A2,1296,"collagen, type VIII, alpha 2"
CCDC8,83987,coiled-coil domain containing 8
ZNF211,10520,zinc finger protein 211
RNF166,115992,ring finger protein 166
GFOD1,54438,glucose-fructose oxidoreductase domain containing 1
APBB1IP,54518,"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"
CCDC113,29070,coiled-coil domain containing 113
GALNTL2,117248,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2
GABRR2,2570,"gamma-aminobutyric acid (GABA) receptor, rho 2"
FAM29A,54801,"family with sequence similarity 29, member A"
IFNB1,3456,"interferon, beta 1, fibroblast"
LOC130951,130951,hypothetical protein BC014602
NDUFS1,4719,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"
CERCAM,51148,cerebral endothelial cell adhesion molecule
CTSO,1519,cathepsin O
GNPTAB,79158,"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits"
LNX2,222484,ligand of numb-protein X 2
KAZALD1,81621,Kazal-type serine peptidase inhibitor domain 1
ADPRHL2,54936,ADP-ribosylhydrolase like 2
TMEM97,27346,transmembrane protein 97
C17orf79,55352,chromosome 17 open reading frame 79
KCNJ14,3770,"potassium inwardly-rectifying channel, subfamily J, member 14"
IQCA,79781,IQ motif containing with AAA domain
ADRA2B,151,"adrenergic, alpha-2B-, receptor"
CENTD1,116984,"centaurin, delta 1"
NUTF2,10204,nuclear transport factor 2
TAAR6,319100,trace amine associated receptor 6
CEP135,9662,centrosomal protein 135kDa
ZNF709,163051,zinc finger protein 709
NCR3,259197,natural cytotoxicity triggering receptor 3
CYB561,1534,cytochrome b-561
SRP72,6731,signal recognition particle 72kDa
PATL1,219988,protein associated with topoisomerase II homolog 1
SMAD9,4093,SMAD family member 9
TTF2,8458,"transcription termination factor, RNA polymerase II"
REEP1,65055,receptor accessory protein 1
MTFMT,123263,mitochondrial methionyl-tRNA formyltransferase
MRE11A,4361,MRE11 meiotic recombination 11 homolog A
C1orf181,54680,chromosome 1 open reading frame 181
TRIM31,11074,tripartite motif-containing 31
PRMT7,54496,protein arginine methyltransferase 7
C11orf67,28971,chromosome 11 open reading frame 67
C14orf2,9556,chromosome 14 open reading frame 2
DLL3,10683,delta-like 3
SDCCAG3,10807,serologically defined colon cancer antigen 3
CACNA2D4,93589,"calcium channel, voltage-dependent, alpha 2/delta subunit 4"
TEX261,113419,testis expressed 261
PRKDC,5591,"protein kinase, DNA-activated, catalytic polypeptide"
ZWILCH,55055,"Zwilch, kinetochore associated, homolog"
ZNF747,65988,zinc finger protein 747
NSUN5,55695,"NOL1/NOP2/Sun domain family, member 5"
ZNF277,11179,zinc finger protein 277
PPP2R4,5524,"protein phosphatase 2A activator, regulatory subunit 4"
ILF2,3608,"interleukin enhancer binding factor 2, 45kDa"
MINPP1,9562,"multiple inositol polyphosphate histidine phosphatase, 1"
SLC22A3,6581,"solute carrier family 22 (extraneuronal monoamine transporter), member 3"
CGNL1,84952,cingulin-like 1
CABLES1,91768,Cdk5 and Abl enzyme substrate 1
HDAC3,8841,histone deacetylase 3
AP1G2,8906,"adaptor-related protein complex 1, gamma 2 subunit"
FKBP1B,2281,"FK506 binding protein 1B, 12.6 kDa"
MTMR15,22909,myotubularin related protein 15
VEPH1,79674,ventricular zone expressed PH domain homolog 1 (zebrafish)
PCCA,5095,"propionyl Coenzyme A carboxylase, alpha polypeptide"
HLA-C,3107,"major histocompatibility complex, class I, C"
ACP2,53,"acid phosphatase 2, lysosomal"
CDC42,998,"cell division cycle 42 (GTP binding protein, 25kDa)"
ADCY1,107,adenylate cyclase 1 (brain)
COQ10A,93058,coenzyme Q10 homolog A
GOLGB1,2804,"golgin B1, golgi integral membrane protein"
GALR3,8484,galanin receptor 3
HN1L,90861,hematological and neurological expressed 1-like
C14orf177,283598,chromosome 14 open reading frame 177
TRAPPC3,27095,trafficking protein particle complex 3
TAS2R39,259285,"taste receptor, type 2, member 39"
RXRB,6257,"retinoid X receptor, beta"
PCDHGB6,56100,"protocadherin gamma subfamily B, 6"
FGD3,89846,"FYVE, RhoGEF and PH domain containing 3"
PLA2G6,8398,"phospholipase A2, group VI (cytosolic, calcium-independent)"
ANKRD20A1,84210,"ankyrin repeat domain 20 family, member A1"
NTNG2,84628,netrin G2
PLRG1,5356,"pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)"
REM1,28954,RAS (RAD and GEM)-like GTP-binding 1
ALKBH4,54784,"alkB, alkylation repair homolog 4 (E. coli)"
WDR45L,56270,WDR45-like
CNOT10,25904,"CCR4-NOT transcription complex, subunit 10"
SERPINB8,5271,"serpin peptidase inhibitor, clade B (ovalbumin), member 8"
BATF3,55509,"basic leucine zipper transcription factor, ATF-like 3"
PRR15,222171,proline rich 15
MSH4,4438,mutS homolog 4 (E. coli)
TMEM115,11070,transmembrane protein 115
PHYHIPL,84457,phytanoyl-CoA 2-hydroxylase interacting protein-like
POLR3H,171568,polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)
METAP1,23173,methionyl aminopeptidase 1
HIST1H2BH,8345,"histone cluster 1, H2bh"
NMD3,51068,NMD3 homolog
OXA1L,5018,oxidase (cytochrome c) assembly 1-like
BMPR1A,657,"bone morphogenetic protein receptor, type IA"
CLDN9,9080,claudin 9
RAD51L3,5892,RAD51-like 3
PQLC3,130814,PQ loop repeat containing 3
CDV3,55573,CDV3 homolog (mouse)
WDR51A,25886,WD repeat domain 51A
SAE1,10055,SUMO1 activating enzyme subunit 1
ACTR8,93973,ARP8 actin-related protein 8 homolog
CCDC42,146849,coiled-coil domain containing 42
C17orf32,147007,chromosome 17 open reading frame 32
ERAF,51327,erythroid associated factor
POLR3D,661,"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa"
C1orf144,26099,chromosome 1 open reading frame 144
SMAP1,60682,stromal membrane-associated protein 1
PHF23,79142,PHD finger protein 23
YIF1B,90522,Yip1 interacting factor homolog B
FCRL1,115350,Fc receptor-like 1
SRR,63826,serine racemase
LOC128977,128977,hypothetical protein LOC128977
C11orf2,738,chromosome 11 open reading frame2
ARRDC2,27106,arrestin domain containing 2
BSPRY,54836,B-box and SPRY domain containing
EFTUD2,9343,elongation factor Tu GTP binding domain containing 2
ARL11,115761,ADP-ribosylation factor-like 11
NGEF,25791,neuronal guanine nucleotide exchange factor
C11orf35,256329,chromosome 11 open reading frame 35
ZFP28,140612,zinc finger protein 28 homolog (mouse)
PRPF4,9128,PRP4 pre-mRNA processing factor 4 homolog
HSCB,150274,HscB iron-sulfur cluster co-chaperone homolog (E. coli)
C14orf129,51527,chromosome 14 open reading frame 129
CER1,9350,"cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)"
COX6B2,125965,cytochrome c oxidase subunit VIb polypeptide 2 (testis)
MRPL4,51073,mitochondrial ribosomal protein L4
MBD3L1,85509,methyl-CpG binding domain protein 3-like 1
ASAH3,125981,N-acylsphingosine amidohydrolase (alkaline ceramidase) 3
ORAI2,80228,ORAI calcium release-activated calcium modulator 2
GNS,2799,glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
RBX1,9978,ring-box 1
C6orf162,57150,chromosome 6 open reading frame 162
PRAMEF2,65122,PRAME family member 2
MTMR6,9107,myotubularin related protein 6
ORAOV1,220064,oral cancer overexpressed 1
PEX12,5193,peroxisomal biogenesis factor 12
PCDHB2,56133,protocadherin beta 2
KRTCAP3,200634,keratinocyte associated protein 3
SCYL3,57147,SCY1-like 3
PFKP,5214,"phosphofructokinase, platelet"
FBXO7,25793,F-box protein 7
GYS2,2998,glycogen synthase 2 (liver)
CYP4X1,260293,"cytochrome P450, family 4, subfamily X, polypeptide 1 (part of CYP4ABXZ cluster; converts the natural endocannabinoid anandamide (arachidonoyl ethanolamide) to 14,15-epoxyeicosatrienoic (EET) ethanolamide; highest mRNA expression in amygdala and skin)"
ZFPL1,7542,zinc finger protein-like 1
RFWD2,64326,ring finger and WD repeat domain 2
LASS3,204219,"LAG1 homolog, ceramide synthase 3"
NCSTN,23385,nicastrin
C1orf183,55924,chromosome 1 open reading frame 183
DONSON,29980,downstream neighbor of SON
RNMTL1,55178,RNA methyltransferase like 1
LIN7B,64130,lin-7 homolog B (C. elegans)
NOTCH2,4853,Notch homolog 2
EPDR1,54749,ependymin related protein 1 (zebrafish)
NIPA2,81614,non imprinted in Prader-Willi/Angelman syndrome 2
MED20,9477,mediator complex subunit 20
LMBR1,64327,limb region 1 homolog (mouse)
SLC19A3,80704,"solute carrier family 19, member 3"
FRMPD2,143162,FERM and PDZ domain containing 2
ZNF70,7621,zinc finger protein 70
AGER,177,advanced glycosylation end product-specific receptor
UBE2U,148581,ubiquitin-conjugating enzyme E2U (putative)
JMJD1B,51780,jumonji domain containing 1B
CASKIN1,57524,CASK interacting protein 1
NSF,4905,N-ethylmaleimide-sensitive factor
MGC11102,84285,hypothetical protein MGC11102
NEUROG2,63973,neurogenin 2
TAS2R48,259294,"taste receptor, type 2, member 48"
ZBTB7A,51341,zinc finger and BTB domain containing 7A
C17orf57,124989,chromosome 17 open reading frame 57
C11orf65,160140,chromosome 11 open reading frame 65
MYCN,4613,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"
CDC2L5,8621,cell division cycle 2-like 5 (cholinesterase-related cell division controller)
ZCWPW1,55063,"zinc finger, CW type with PWWP domain 1"
ALDH1A2,8854,"aldehyde dehydrogenase 1 family, member A2"
GSTA1,2938,glutathione S-transferase A1
RIOK1,83732,RIO kinase 1
WRNIP1,56897,Werner helicase interacting protein 1
MAPRE2,10982,"microtubule-associated protein, RP/EB family, member 2"
FLJ90709,153129,hypothetical protein FLJ90709
SLC30A9,10463,"solute carrier family 30 (zinc transporter), member 9"
C19orf10,56005,chromosome 19 open reading frame 10
DPP10,57628,dipeptidyl-peptidase 10
ZMYND11,10771,"zinc finger, MYND domain containing 11"
TAS2R50,259296,"taste receptor, type 2, member 50"
GMEB1,10691,glucocorticoid modulatory element binding protein 1
TAS2R13,50838,"taste receptor, type 2, member 13"
C7orf25,79020,chromosome 7 open reading frame 25
C5orf29,202309,chromosome 5 open reading frame 29
KRT40,125115,keratin 40
C6orf1,221491,chromosome 6 open reading frame 1
ZMYM1,79830,"zinc finger, MYM-type 1"
CLDN14,23562,claudin 14
ADAMTSL1,92949,ADAMTS-like 1
DEFB123,245936,"defensin, beta 123"
MARCH9,92979,membrane-associated ring finger (C3HC4) 9
HKR1,284459,GLI-Kruppel family member HKR1
C19orf53,28974,chromosome 19 open reading frame 53
FAM101A,144347,"family with sequence similarity 101, member A"
NXNL2,158046,nucleoredoxin-like 2
KIF3B,9371,kinesin family member 3B
POLM,27434,"polymerase (DNA directed), mu"
BMP4,652,bone morphogenetic protein 4
PRPF31,26121,PRP31 pre-mRNA processing factor 31 homolog
CTSG,1511,cathepsin G
IFNA1,3439,"interferon, alpha 1"
TTLL6,284076,"tubulin tyrosine ligase-like family, member 6"
ELAC1,55520,elaC homolog 1 (E. coli)
ATRN,8455,attractin
LIN28,79727,lin-28 homolog (C. elegans)
PNO1,56902,partner of NOB1 homolog
KCNK5,8645,"potassium channel, subfamily K, member 5"
YTHDC2,64848,YTH domain containing 2
SSX2IP,117178,"synovial sarcoma, X breakpoint 2 interacting protein"
TEF,7008,thyrotrophic embryonic factor
MARCH3,115123,membrane-associated ring finger (C3HC4) 3
SLMO1,10650,slowmo homolog 1
ERCC8,1161,"excision repair cross-complementing rodent repair deficiency, complementation group 8"
TAS2R42,353164,"taste receptor, type 2, member 42"
MARK3,4140,MAP/microtubule affinity-regulating kinase 3
FAM86C,55199,"family with sequence similarity 86, member C"
BMP8A,353500,bone morphogenetic protein 8a
NANOG,79923,Nanog homeobox
CCDC37,348807,coiled-coil domain containing 37
SPC24,147841,"SPC24, NDC80 kinetochore complex component, homolog"
CABP7,164633,calcium binding protein 7
KBTBD3,143879,kelch repeat and BTB (POZ) domain containing 3
ZNF649,65251,zinc finger protein 649
ZRANB1,54764,"zinc finger, RAN-binding domain containing 1"
MEPCE,56257,methylphosphate capping enzyme
MYO10,4651,myosin X
ZNF234,10780,zinc finger protein 234
CHPF,79586,chondroitin polymerizing factor
PGLYRP4,57115,peptidoglycan recognition protein 4
CD320,51293,CD320 molecule
SOX2,6657,SRY (sex determining region Y)-box 2
MGC42090,256130,hypothetical protein MGC42090
FNDC3B,64778,fibronectin type III domain containing 3B
HIGD2A,192286,"HIG1 domain family, member 2A"
FLJ20323,54468,hypothetical protein FLJ20323
TNFRSF14,8764,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"
PHF8,23133,PHD finger protein 8
POU3F1,5453,POU class 3 homeobox 1
ABCF2,10061,"ATP-binding cassette, sub-family F (GCN20), member 2"
SLC39A12,221074,"solute carrier family 39 (zinc transporter), member 12"
RG9MTD2,93587,RNA (guanine-9-) methyltransferase domain containing 2
MSH5,4439,mutS homolog 5 (E. coli)
PTPDC1,138639,protein tyrosine phosphatase domain containing 1
AHI1,54806,Abelson helper integration site 1
KLK6,5653,kallikrein-related peptidase 6
YTHDF1,54915,"YTH domain family, member 1"
ICT1,3396,immature colon carcinoma transcript 1
NDUFA7,4701,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"
LAPTM4A,9741,lysosomal-associated protein transmembrane 4 alpha
PVR,5817,poliovirus receptor
NLRP9,338321,"NLR family, pyrin domain containing 9"
TRIM13,10206,tripartite motif-containing 13
TCEAL7,56849,transcription elongation factor A (SII)-like 7
HR,55806,hairless homolog (mouse)
CD300C,10871,CD300c molecule
PPIL5,122769,peptidylprolyl isomerase (cyclophilin)-like 5
FAM32A,26017,"family with sequence similarity 32, member A"
DUSP18,150290,dual specificity phosphatase 18
CEP250,11190,centrosomal protein 250kDa
DCTN4,51164,dynactin 4 (p62)
BAT1,7919,HLA-B associated transcript 1
SH3BP1,23616,SH3-domain binding protein 1
ZZEF1,23140,"zinc finger, ZZ-type with EF-hand domain 1"
DEC1,50514,deleted in esophageal cancer 1
COPG2,26958,"coatomer protein complex, subunit gamma 2"
UNC50,25972,unc-50 homolog (C. elegans)
NEK10,152110,NIMA (never in mitosis gene a)- related kinase 10
FAM125A,93343,"family with sequence similarity 125, member A"
ABCG5,64240,"ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)"
TMEM42,131616,transmembrane protein 42
UCN3,114131,urocortin 3 (stresscopin)
C8orf42,157695,chromosome 8 open reading frame 42
CHMP7,91782,"CHMP family, member 7"
HIAT1,64645,hippocampus abundant transcript 1
DUS1L,64118,dihydrouridine synthase 1-like
SYPL1,6856,synaptophysin-like 1
MCM7,4176,minichromosome maintenance complex component 7
APOL2,23780,"apolipoprotein L, 2"
PCNP,57092,PEST proteolytic signal containing nuclear protein
KCNRG,283518,potassium channel regulator
C17orf81,23587,chromosome 17 open reading frame 81
DHX40,79665,DEAH (Asp-Glu-Ala-His) box polypeptide 40
MRPL36,64979,mitochondrial ribosomal protein L36
UCP1,7350,"uncoupling protein 1 (mitochondrial, proton carrier)"
NKX6-3,157848,NK6 homeobox 3
UBE2I,7329,"ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)"
GJD4,219770,"gap junction protein, delta 4, 40.1kDa"
MRTO4,51154,mRNA turnover 4 homolog
CNOT2,4848,"CCR4-NOT transcription complex, subunit 2"
DLG1,1739,"discs, large homolog 1"
HIATL1,84641,hippocampus abundant transcript-like 1
NAPRT1,93100,nicotinate phosphoribosyltransferase domain containing 1
KIAA1324L,222223,KIAA1324-like
SASP,151516,skin aspartic protease
ZNF574,64763,zinc finger protein 574
TTC23,64927,tetratricopeptide repeat domain 23
ZNF561,93134,zinc finger protein 561
BAG5,9529,BCL2-associated athanogene 5
DKFZP564O0523,84060,hypothetical protein DKFZp564O0523
C12orf23,90488,chromosome 12 open reading frame 23
HGF,3082,hepatocyte growth factor (hepapoietin A; scatter factor)
WWC1,23286,WW and C2 domain containing 1
MFAP3,4238,microfibrillar-associated protein 3
SPECC1,92521,sperm antigen with calponin homology and coiled-coil domains 1
LRRTM4,80059,leucine rich repeat transmembrane neuronal 4
CSDE1,7812,"cold shock domain containing E1, RNA-binding"
TXNDC9,10190,thioredoxin domain containing 9
LRIG2,9860,leucine-rich repeats and immunoglobulin-like domains 2
TRIM37,4591,tripartite motif-containing 37
SSTR5,6755,somatostatin receptor 5
THAP6,152815,THAP domain containing 6
KIAA0082,23070,KIAA0082
TBC1D21,161514,"TBC1 domain family, member 21"
LSR,51599,lipolysis stimulated lipoprotein receptor
FATE1,89885,fetal and adult testis expressed 1
C20orf186,149954,chromosome 20 open reading frame 186
CTLA4,1493,cytotoxic T-lymphocyte-associated protein 4
CCDC128,129285,coiled-coil domain containing 128
ZNF43,7594,zinc finger protein 43
FLJ33590,285093,hypothetical protein FLJ33590
P18SRP,285672,P18SRP protein
NOC4L,79050,nucleolar complex associated 4 homolog
EIF3B,8662,"eukaryotic translation initiation factor 3, subunit B"
RPL27,6155,ribosomal protein L27
DDIT3,1649,DNA-damage-inducible transcript 3
XKR3,150165,"XK, Kell blood group complex subunit-related family, member 3"
MYO1F,4542,myosin IF
PLAGL2,5326,pleiomorphic adenoma gene-like 2
ACVR1C,130399,"activin A receptor, type IC"
MRPL50,54534,mitochondrial ribosomal protein L50
MMS19,64210,MMS19 nucleotide excision repair homolog
IFNA16,3449,"interferon, alpha 16"
ASCC1,51008,activating signal cointegrator 1 complex subunit 1
C1orf108,79647,chromosome 1 open reading frame 108
WAC,51322,WW domain containing adaptor with coiled-coil
KIAA1706,80820,KIAA1706 protein
C6orf117,112609,chromosome 6 open reading frame 117
DOC2A,8448,"double C2-like domains, alpha"
OR2J2,26707,"olfactory receptor, family 2, subfamily J, member 2"
